,base_time,id_device,imu_mean,weight_slope,weight_mean,temperature_mean,stage
170,8592,1,0.6642326379739757,-0.025272078765931533,50.498734820419216,23.368815592203898,6.0
171,8642,1,1.3608694167786353,-0.022908850026369432,49.317897352234276,23.138680659670165,6.0
172,8692,1,1.9796424280059037,-0.02429560830943574,48.16250954541895,22.8888055972014,6.0
173,8741,1,2.745295880241758,-0.015939736702557942,47.492250520642884,22.644927536231883,6.0
174,8791,1,3.8711913940927056,0.09226237915883094,45.34574590998702,22.63943028485757,6.0
175,8841,1,4.649728614753456,-0.5488105285151296,34.32646637869373,23.22313843078461,6.0
176,8890,1,4.69775808117416,-0.4536916888380109,11.717749175244675,23.759370314842577,1.0
177,8940,1,4.469033549325818,-0.07171675787202383,8.919792619262964,24.308595702148924,1.0
178,8990,1,3.5459275559861485,0.1454109112200067,13.562047438187951,25.274112943528237,1.0
179,9039,1,2.6085136663656843,1.0157301810112604,46.50911247778123,26.092203898050975,1.0
180,9089,1,2.1923137928814,0.939793371818599,96.3962484498048,27.21264367816092,1.0
181,9139,1,2.2711069314309653,0.8617827088340594,133.56392958288464,28.382808595702148,1.0
182,9188,1,2.752940996504743,0.8854265435431812,178.4948062624174,28.54047976011994,1.0
183,9238,1,2.830260499510832,1.0368545521934798,219.22815544791095,28.023988005997,1.0
184,9288,1,3.075282869914446,1.4128972967315772,276.3366160714563,27.21064467766117,1.0
185,9337,1,2.5681170430753535,1.4495816667800596,343.1169441632801,26.15992003998001,1.0
186,9387,1,2.157506829211814,1.3323063737967202,410.55103497604335,25.63543228385807,1.0
187,9437,1,1.735228099207531,1.2668352918792423,478.83591984553965,25.347076461769117,1.0
188,9486,1,1.4054379938761956,1.129878483355697,540.7210146723476,25.003498250874564,1.0
189,9536,1,1.7051656806182343,1.2466031601191234,599.1296565421172,24.78185907046477,1.0
190,9586,1,1.883437848418106,0.9934724246172196,655.3944374243163,24.41304347826087,1.0
191,9635,1,2.063459917034657,1.2282431259352098,710.0912576773426,24.04622688655672,1.0
192,9685,1,2.327960047406439,1.2803394561053243,769.384993655544,23.796351824087957,1.0
193,9735,1,2.390667743747098,0.973626126120691,824.23447356341,23.598700649675163,1.0
194,9784,1,2.4682820180033205,0.902512232723046,870.289582089645,23.684657671164416,1.0
195,9834,1,2.7266094778548178,0.6128961392317946,905.9237654771082,23.88705647176412,1.0
196,9884,1,2.6904889062266797,1.1006617281616522,937.8692709227562,24.011994002998502,1.0
197,9933,1,2.5936147842144344,1.0319834072404948,994.0988226538384,24.061469265367318,1.0
198,9983,1,2.569488773589418,1.0517079064713257,1060.6125399207442,23.964517741129434,1.0
199,10033,1,2.4461606758879277,1.2049090530711202,1118.3383487939786,23.98125937031484,1.0
200,10082,1,2.538786981073249,1.1011199051621803,1166.1550513674645,24.106196901549225,1.0
